S.N.,Country,Total Cases,New Cases,Total Deaths,Total Recovered,Active Cases,Serious Critical,Tot cases/ 1M pop,Deaths / 1M pop,TOtal Tests,Tests/ 1M pop,Population,,,,,,,,,,,,
1,USA,"33,146,008",,"590,704 ",,"25,777,927",,"6,777,377","9,543","99,652","1,776","447,732,682","1,346,092","332,616,743 ",North America,105631,,,"20,376",,,,,
2,India,"19,557,457","+7,801","215,542 ",+19,"15,992,271","+10,499","3,349,644","8,944","14,057",155,"290,142,339","208,545","1,391,271,798 ",Asia,"716,4555",6,0.01,"2,408",,,,,
3,Brazil,"14,725,975",,"406,565 ",,"13,242,665",,"1,076,745","8,318","68,872","1,901","43,818,216","204,935","213,815,388 ",South America,155265,,,"5,036",,,,,
4,France,"5,642,359",,"104,706 ",,"4,590,376",,"947,277","5,581","86,283","1,601","76,301,950","1,166,808","65,393,762 ",Europe,126251,,,"14,486",,,,,
5,Turkey,"4,849,408",,"40,504 ",,"4,405,199",,"403,705","3,525","56,990",476,"47,504,193","558,265","85,092,490 ",Asia,"182,1012",,,"4,744",,,,,
6,Russia,"4,814,558",,"110,520 ",,"4,436,583",,"267,455","2,300","32,979",757,"129,500,000","887,068","145,986,588 ",Europe,"301,3211",,,"1,832",,,,,
7,UK,"4,418,530",,"127,524 ",,"4,218,172",,"72,834",185,"64,804","1,870","156,302,824","2,292,415","68,182,618 ",Europe,155350,,,"1,068",,,,,
8,Italy,"4,035,617",,"121,033 ",,"3,484,042",,"430,542","2,522","66,828","2,004","58,957,954","976,323","60,387,724 ",Europe,154991,,,"7,130",,,,,
9,Spain,"3,524,077",,"78,216 ",,"3,206,273",,"239,588","2,308","75,349","1,672","46,199,597","987,807","46,769,864 ",Europe,135981,,,"5,123",,,,,
10,Germany,"3,412,373",,"83,702 ",,"3,024,600","+12,500","304,071","5,049","40,620",996,"55,490,413","660,546","84,006,917 ",Europe,"251,0042",,,"3,620",,,,,
11,Argentina,"2,993,865",,"64,096 ",,"2,655,359",,"274,410","5,370","65,741","1,407","11,209,847","246,152","45,540,268 ",South America,157114,,,"6,026",,,,,
12,Colombia,"2,877,746",,"74,215 ",,"2,686,399",,"117,132","6,006","56,060","1,446","14,888,382","290,034","51,333,154 ",South America,186923,,,"2,282",,,,,
13,Poland,"2,798,617",,"67,924 ",,"2,510,858",,"219,835","2,723","74,014","1,796","14,321,250","378,748","37,812,066 ",Europe,145573,,,"5,814",,,,,
14,Iran,"2,516,157",,"72,090 ",,"1,971,064",,"473,003","5,421","29,642",849,"15,961,178","188,033","84,884,809 ",Asia,"341,1775",,,"5,572",,,,,
15,Mexico,"2,347,780","+3,025","217,168 ",+261,"1,867,191","+2,277","263,421","4,798","18,052","1,670","6,650,124","51,132","130,057,448 ",North America,5559920,23,2,"2,025",,,,,
16,Ukraine,"2,083,180","+5,094","44,596 ",+160,"1,676,265","+5,784","362,319",177,"47,873","1,025","9,456,234","217,312","43,514,481 ",Europe,219765,117,4,"8,326",,,,,
17,Peru,"1,804,915",,"61,789 ",,"1,688,091",,"55,035","2,667","54,116","1,853","11,225,924","336,582","33,352,726 ",South America,185403,,,"1,650",,,,,
18,Indonesia,"1,672,880",,"45,652 ",,"1,526,978",,"100,250",,"6,063",165,"14,703,659","53,289","275,924,964 ",Asia,"1656,04419",,,363,,,,,
19,Czechia,"1,632,932",,"29,316 ",,"1,555,152",,"48,464",527,"152,247","2,733","18,347,631","1,710,651","10,725,523 ",Europe,73661,,,"4,519",,,,,
20,South Africa,"1,582,842",,"54,406 ",,"1,506,732",,"21,704",546,"26,412",908,"10,682,827","178,258","59,929,069 ",Africa,"381,1026",,,362,,,,,
21,Netherlands,"1,502,107",,"17,169 ",,"1,263,274",,"221,664",792,"87,503","1,000","12,274,847","715,049","17,166,437 ",Europe,"111,0001",,,"12,913",,,,,
22,Canada,"1,227,035",,"24,261 ",,"1,119,279",,"83,495","1,422","32,276",638,"31,629,802","831,989","38,017,069 ",North America,"311,5671",,,"2,196",,,,,
23,Chile,"1,204,755",,"26,457 ",,"1,136,816",,"41,482","3,336","62,576","1,374","13,115,985","681,260","19,252,532 ",South America,167281,,,"2,155",,,,,
24,Iraq,"1,070,366",,"15,498 ",,"949,341",,"105,527",571,"26,127",378,"9,376,388","228,868","40,968,539 ",Asia,"382,6434",,,"2,576",,,,,
25,Romania,"1,056,572",,"28,194 ",,"992,605",,"35,773","1,277","55,230","1,474","8,273,925","432,498","19,130,567 ",Europe,186792,,,"1,870",,,,,
26,Philippines,"1,046,653",,"17,354 ",,"957,051",,"72,248",750,"9,447",157,"11,854,425","106,998","110,790,799 ",Asia,"1066,3849",,,652,,,,,
27,Belgium,"993,434","+3,205","24,258 ",+28,"858,223",,"110,953",855,"85,408","2,086","12,586,507","1,082,097","11,631,588 ",Europe,124791,276,2,"9,539",,,,,
28,Sweden,"973,604",,"14,048 ",,"806,095","+6,978","153,461",392,"95,906","1,384","8,482,276","835,558","10,151,626 ",Europe,107231,,,"15,117",,,,,
29,Israel,"838,481",,"6,363 ",,"830,625",,"1,493",110,"91,163",692,"14,200,104","1,543,894","9,197,590 ",Asia,"111,4451",,,162,,,,,
30,Portugal,"836,947",,"16,976 ",,"796,477",,"23,494",84,"82,280","1,669","10,515,374","1,033,765","10,171,918 ",Europe,125991,,,"2,310",,,,,
31,Pakistan,"829,933","+4,414","18,070 ",+113,"722,202","+5,193","89,661","5,448","3,698",81,"11,882,141","52,941","224,441,715 ",Asia,"27012,42119",20,0.5,399,,,,,
32,Hungary,"781,299",,"27,701 ",,"517,026",,"236,572",621,"81,048","2,874","5,394,652","559,617","9,639,899 ",Europe,123482,,,"24,541",,,,,
33,Bangladesh,"760,584",,"11,510 ",,"684,671",,"64,403",996,"4,580",69,"5,484,821","33,031","166,051,909 ",Asia,"21814,42730",,,388,,,,,
34,Jordan,"712,077",,"8,871 ",,"685,010",,"18,196",729,"69,219",862,"6,714,356","652,687","10,287,249 ",Asia,"141,1602",,,"1,769",,,,,
35,Serbia,"690,931",,"6,386 ",,"638,811",,"45,734",160,"79,344",733,"3,847,549","441,840","8,708,015 ",Europe,"131,3642",,,"5,252",,,,,
36,Switzerland,"659,974",,"10,633 ",,"590,565",,"58,776",238,"75,796","1,221","6,911,371","793,751","8,707,229 ",Europe,138191,,,"6,750",,,,,
37,Austria,"620,485",,"10,233 ",,"587,115",,"23,137",484,"68,568","1,131","32,228,406","3,561,491","9,049,134 ",Europe,158840,,,"2,557",,,,,
38,Japan,"591,602",,"10,229 ",,"523,227",,"58,146","1,020","4,690",81,"11,897,791","94,312","126,153,600 ",Asia,"21312,33311",,,461,,,,,
39,Lebanon,"527,508",,"7,302 ",,"464,660",,"55,546",582,"77,575","1,074","4,011,613","589,948","6,799,947 ",Asia,139312,,,"8,169",,,,,
40,UAE,"521,948",,"1,591 ",,"502,460",,"17,897",,"52,249",159,"44,311,796","4,435,810","9,989,561 ",Asia,"196,2790",,,"1,792",,,,,
41,Morocco,"511,562",,"9,026 ",,"498,131",,"4,405",207,"13,725",242,"6,270,195","168,221","37,273,622 ",Africa,"734,1306",,,118,,,,,
42,Saudi Arabia,"418,411",,"6,968 ",,"401,544",,"9,899","1,333","11,865",198,"16,969,267","481,218","35,263,191 ",Asia,"845,0612",,,281,,,,,
43,Malaysia,"411,594",,"1,521 ",,"380,442",,"29,631",337,"12,583",46,"9,482,220","289,887","32,710,014 ",Asia,"7921,5063",,,906,,,,,
44,Bulgaria,"404,846",,"16,444 ",,"339,889",,"48,513",670,"58,633","2,382","2,525,448","365,754","6,904,772 ",Europe,174203,,,"7,026",,,,,
45,Ecuador,"384,589",,"18,724 ",,"318,598",,"47,267",623,"21,527","1,048","1,291,070","72,268","17,865,111 ",South America,4695414,,,"2,646",,,,,
46,Slovakia,"382,720",,"11,732 ",,"363,604",,"7,384",310,"70,072","2,148","2,629,250","481,385","5,461,845 ",Europe,144662,,,"1,352",,,,,
47,Panama,"364,844",,"6,235 ",,"354,713",,"3,896",105,"83,468","1,426","2,402,739","549,693","4,371,053 ",North America,127012,,,891,,,,,
48,Belarus,"359,982",,"2,552 ",,"350,433",,"6,997",,"38,107",270,"5,868,221","621,191","9,446,733 ",Europe,"263,7022",,,741,,,,,
49,Greece,"346,422",,"10,453 ",,"306,498",,"29,471",811,"33,372","1,007","8,165,612","786,624","10,380,577 ",Europe,309931,,,"2,839",,,,,
50,Croatia,"334,229",,"7,130 ",,"312,823",,"14,276",246,"81,836","1,746","1,814,505","444,281","4,084,137 ",Europe,125732,,,"3,495",,,,,
51,Nepal,"328,893",,"3,298 ",,"282,382",,"43,213",,"11,122",112,"2,488,359","84,149","29,570,715 ",Asia,"908,96612",,,"1,461",,,,,
52,Kazakhstan,"325,499","+2,804","3,717 ",+18,"278,584","+1,607","43,198",221,"17,165",196,"10,190,393","537,381","18,963,084 ",Asia,"585,1022",148,0.9,"2,278",,,,,
53,Azerbaijan,"320,322",,"4,538 ",,"291,564",,"24,220",,"31,358",444,"3,253,878","318,536","10,215,094 ",Asia,"322,2513",,,"2,371",,,,,
54,Georgia,"312,445",+988,"4,151 ",+21,"293,052","+1,595","15,242",,"78,449","1,042","4,218,198","1,059,108","3,982,784 ",Asia,139591,248,5,"3,827",,,,,
55,Tunisia,"310,734",,"10,808 ",,"261,552",,"38,374",518,"26,065",907,"1,319,328","110,670","11,921,296 ",Africa,"381,1039",,,"3,219",,,,,
56,Bolivia,"306,527",+933,"13,009 ",+34,"252,780","+1,116","40,738",71,"25,966","1,102","1,178,553","99,834","11,805,074 ",South America,3990710,79,3,"3,451",,,,,
57,Palestine,"296,462",,"3,249 ",,"272,333",,"20,880",147,"57,018",625,"1,741,234","334,891","5,199,404 ",Asia,"181,6003",,,"4,016",,,,,
58,Paraguay,"281,023",,"6,476 ",,"231,517",,"43,030",512,"39,003",899,"1,102,980","153,080","7,205,234 ",South America,"261,1137",,,"5,972",,,,,
59,Kuwait,"275,270",,"1,569 ",,"258,599",,"15,102",220,"63,677",363,"2,334,897","540,119","4,322,927 ",Asia,"162,7552",,,"3,493",,,,,
60,Dominican Republic,"266,861",,"3,487 ",,"227,267",,"36,107",196,"24,397",319,"1,406,420","128,578","10,938,244 ",North America,"413,1378",,,"3,301",,,,,
61,Ethiopia,"258,062",,"3,709 ",,"200,148",,"54,205",912,"2,200",32,"2,584,305","22,029","117,315,204 ",Africa,"45531,63045",,,462,,,,,
62,Denmark,"252,045",,"2,489 ",,"239,913",,"9,643",37,"43,387",428,"38,325,742","6,597,448","5,809,177 ",Europe,"232,3340",,,"1,660",,,,,
63,Moldova,"251,160",,"5,826 ",,"240,393",,"4,941",207,"62,382","1,447","993,704","246,813","4,026,147 ",Europe,166914,,,"1,227",,,,,
64,Costa Rica,"250,991",,"3,231 ",,"203,009",,"44,751",380,"48,900",629,"974,477","189,854","5,132,758 ",North America,"201,5895",,,"8,719",,,,,
65,Ireland,"249,437",,"4,906 ",,"231,694",,"12,837",41,"50,052",984,"4,512,912","905,558","4,983,570 ",Europe,"201,0161",,,"2,576",,,,,
66,Lithuania,"248,655",,"3,937 ",,"224,649",,"20,069",223,"92,419","1,463","2,814,398","1,046,043","2,690,519 ",Europe,116831,,,"7,459",,,,,
67,Slovenia,"241,309",,"4,258 ",,"227,411",,"9,640",154,"116,060","2,048","1,178,789","566,950","2,079,176 ",Europe,94882,,,"4,636",,,,,
68,Egypt,"228,584",,"13,402 ",,"171,542",,"43,640",90,"2,199",129,"2,715,258","26,125","103,931,972 ",Africa,"4557,75538",,,420,,,,,
69,Guatemala,"228,477",,"7,543 ",,"204,141",,"16,793",5,"12,561",415,"1,264,544","69,519","18,189,912 ",North America,"802,41114",,,923,,,,,
70,Armenia,"216,596",,"4,128 ",,"199,115",,"13,353",,"72,981","1,391","988,086","332,929","2,967,855 ",Asia,147193,,,"4,499",,,,,
71,Honduras,"213,167",+834,"5,318 ",+37,"78,806",+183,"129,043",566,"21,242",530,"629,447","62,724","10,035,141 ",North America,"471,88716",83,4,"12,859",,,,,
72,Qatar,"206,302",,465 ,,"191,071",,"14,766",364,"73,474",166,"1,908,717","679,790","2,807,805 ",Asia,"146,0381",,,"5,259",,,,,
73,Uruguay,"200,908",,"2,669 ",,"170,750",,"27,489",559,"57,670",766,"1,814,302","520,790","3,483,749 ",South America,"171,3052",,,"7,891",,,,,
74,Venezuela,"198,865",,"2,155 ",,"180,301",,"16,409",317,"7,010",76,"3,359,014","118,405","28,368,759 ",South America,"14313,1648",,,578,,,,,
75,Bosnia and Herzegovina,"198,461",,"8,551 ",,"159,223",,"30,687",,"60,807","2,620","907,054","277,915","3,263,787 ",Europe,163824,,,"9,402",,,,,
76,Oman,"193,253",,"2,010 ",,"173,123",,"18,120",275,"37,065",386,"1,550,000","297,285","5,213,849 ",Asia,"272,5943",,,"3,475",,,,,
77,Bahrain,"177,997",,648 ,,"166,851",,"10,498",89,"101,699",370,"4,108,476","2,347,399","1,750,225 ",Asia,"102,7010",,,"5,998",,,,,
78,Libya,"177,508",,"3,029 ",,"163,191",,"11,288",,"25,545",436,"958,768","137,976","6,948,783 ",Africa,"392,2947",,,"1,624",,,,,
79,Nigeria,"165,110",,"2,063 ",,"155,101",,"7,946",11,785,10,"1,912,628","9,092","210,358,766 ",Africa,"1,274101,967110",,,38,,,,,
80,Kenya,"160,053",,"2,744 ",,"108,789",,"48,520",188,"2,923",50,"1,675,310","30,599","54,750,456 ",Africa,"34219,95333",,,886,,,,,
81,North Macedonia,"152,581",,"4,891 ",,"133,070",,"14,620",124,"73,240","2,348","723,722","347,392","2,083,303 ",Europe,144263,,,"7,018",,,,,
82,Myanmar,"142,831",,"3,209 ",,"131,972",,"7,650",,"2,611",59,"2,577,903","47,117","54,713,038 ",Asia,"38317,05021",,,140,,,,,
83,Albania,"131,185",,"2,396 ",,"110,172",,"18,617",18,"45,627",833,"636,651","221,430","2,875,178 ",Europe,"221,2005",,,"6,475",,,,,
84,S. Korea,"123,240",+606,"1,833 ",+2,"112,865",+528,"8,542",170,"2,402",36,"8,898,234","173,435","51,305,935 ",Asia,"41627,9906",12,0.04,166,,,,,
85,Estonia,"122,450",,"1,166 ",,"112,007",,"9,277",57,"92,256",878,"1,288,985","971,149","1,327,278 ",Europe,"111,1381",,,"6,989",,,,,
86,Algeria,"122,311",,"3,261 ",,"85,249",,"33,801",28,"2,748",73,"230,861","5,187","44,506,651 ",Africa,"36413,648193",,,759,,,,,
87,Latvia,"119,370",,"2,139 ",,"108,949",,"8,282",84,"63,876","1,145","2,305,084","1,233,477","1,868,770 ",Europe,168741,,,"4,432",,,,,
88,Norway,"113,259",,756 ,,"88,952",,"23,551",34,"20,757",139,"5,212,177","955,229","5,456,469 ",Europe,"487,2181",,,"4,316",,,,,
89,Sri Lanka,"109,862",,687 ,,"96,478",,"12,697",,"5,113",32,"2,733,805","127,225","21,487,952 ",Asia,"19631,2788",,,591,,,,,
90,Cuba,"107,622",,654 ,,"101,475",,"5,493",73,"9,507",58,"3,654,854","322,843","11,320,855 ",North America,"10517,3103",,,485,,,,,
91,Montenegro,"97,517",,"1,502 ",,"93,701",,"2,314",69,"155,249","2,391","376,905","600,041","628,132 ",Europe,64182,,,"3,684",,,,,
92,Kyrgyzstan,"96,060",+308,"1,619 ",+7,"89,719",+258,"4,722",72,"14,525",245,"996,830","150,730","6,613,368 ",Asia,"694,0857",47,1,714,,,,,
93,Ghana,"92,601",,779 ,,"90,248",,"1,574",7,"2,930",25,"1,081,113","34,202","31,609,384 ",Africa,"34140,57729",,,50,,,,,
94,Zambia,"91,670",,"1,251 ",,"90,012",,407,45,"4,874",67,"1,406,735","74,792","18,808,586 ",Africa,"20515,03513",,,22,,,,,
95,Uzbekistan,"91,643",+393,652 ,+2,"87,628",+315,"3,363",23,"2,706",19,"1,377,915","40,681","33,871,350 ",Asia,"37051,95025",12,0.06,99,,,,,
96,Finland,"87,096",,914 ,,"46,000",,"40,182",31,"15,699",165,"4,484,272","808,285","5,547,888 ",Europe,"646,0701",,,"7,243",,,,,
97,Cameroon,"72,250",,"1,107 ",,"67,625",,"3,518",385,"2,667",41,"1,257,949","46,433","27,091,519 ",Africa,"37524,47322",,,130,,,,,
98,Mozambique,"69,965",,814 ,,"66,883",,"2,268",43,"2,188",25,"520,205","16,268","31,977,645 ",Africa,"45739,28561",,,71,,,,,
99,El Salvador,"69,198",,"2,124 ",,"64,876",,"2,198",31,"10,624",326,"914,674","140,429","6,513,428 ",North America,"943,0677",,,337,,,,,
100,Thailand,"68,984","+1,940",245 ,+21,"39,481","+1,406","29,258",954,986,4,"8,124,896","116,160","69,945,784 ",Asia,"1,014285,4939",28,0.3,418,,,,,
101,Luxembourg,"67,397",,797 ,,"63,661",,"2,939",34,"106,235","1,256","2,673,110","4,213,497","634,416 ",Europe,97960,,,"4,633",,,,,
102,Cyprus,"65,909",,312 ,,"39,061",,"26,536",75,"54,261",257,"4,898,791","4,033,042","1,214,664 ",Asia,"183,8930",,,"21,846",,,,,
103,Singapore,"61,179",,31 ,,"60,765",,383,,"10,389",5,"9,536,636","1,619,514","5,888,578 ",Asia,"96189,9541",,,65,,,,,
104,Afghanistan,"60,122",,"2,637 ",,"53,272",,"4,213","1,124","1,516",67,"404,894","10,211","39,652,974 ",Asia,"66015,03798",,,106,,,,,
105,Namibia,"48,654",,643 ,,"46,238",,"1,773",37,"18,865",249,"388,574","150,668","2,579,003 ",Africa,"534,0117",,,687,,,,,
106,Botswana,"46,934",,712 ,,"44,960",,"1,262",1,"19,630",298,"999,041","417,850","2,390,908 ",Africa,"513,3582",,,528,,,,,
107,Ivory Coast,"46,114",,286 ,,"45,582",,246,,"1,713",11,"594,288","22,078","26,917,693 ",Africa,"58494,11845",,,9,,,,,
108,Jamaica,"45,777",,779 ,,"21,153",,"23,845",22,"15,403",262,"332,706","111,950","2,971,920 ",North America,"653,8159",,,"8,023",,,,,
109,Uganda,"41,905",,342 ,,"41,422",,141,24,893,7,"1,017,854","21,688","46,930,713 ",Africa,"1,120137,22446",,,3,,,,,
110,Senegal,"40,388",,"1,109 ",,"39,110",,169,11,"2,361",65,"481,020","28,117","17,108,079 ",Africa,"42415,42736",,,10,,,,,
111,Mongolia,"38,470","+1,185",117 ,+2,"21,707","+1,026","16,646",119,"11,580",35,"2,719,337","818,576","3,322,033 ",Asia,"8628,3931",357,0.6,"5,011",,,,,
112,Zimbabwe,"38,260",,"1,568 ",,"35,620",,"1,072",12,"2,543",104,"417,583","27,761","15,042,299 ",Africa,"3939,59336",,,71,,,,,
113,Madagascar,"37,296",,654 ,,"32,111",,"4,531",396,"1,319",23,"184,336","6,519","28,278,674 ",Africa,"75843,240153",,,160,,,,,
114,Malawi,"34,095",,"1,148 ",,"32,064",,883,12,"1,745",59,"233,149","11,933","19,537,996 ",Africa,"57317,01984",,,45,,,,,
115,Sudan,"33,104",,"2,349 ",,"26,795",,"3,960",,741,53,"232,965","5,212","44,695,198 ",Africa,"1,35019,027192",,,89,,,,,
116,Malta,"30,307",,415 ,,"29,622",,270,,"68,487",938,"869,063","1,963,887","442,522 ",Europe,"151,0661",,,610,,,,,
117,Maldives,"30,237",,73 ,,"24,934",,"5,230",90,"55,134",133,"729,127","1,329,485","548,428 ",Asia,"187,5131",,,"9,536",,,,,
118,DRC,"29,904",,768 ,,"26,250",,"2,886",,326,8,"149,376","1,627","91,804,946 ",Africa,"3,070119,538615",,,31,,,,,
119,Australia,"29,819",+7,910 ,,"28,617",,292,1,"1,158",35,"16,893,635","656,180","25,745,436 ",Australia/Oceania,"86328,2922",0.3,,11,,,,,
120,Angola,"26,815",,600 ,,"23,913",,"2,302",10,795,18,"498,853","14,799","33,708,433 ",Africa,"1,25756,18168",,,68,,,,,
121,Rwanda,"25,225",,335 ,,"23,345",,"1,545",2,"1,908",25,"1,316,968","99,639","13,217,357 ",Africa,"52439,45510",,,117,,,,,
122,Cabo Verde,"24,127",,220 ,,"20,711",,"3,196",23,"43,007",392,"152,873","272,501","561,000 ",Africa,"232,5504",,,"5,697",,,,,
123,Gabon,"23,075",,139 ,,"19,629",,"3,307",19,"10,169",61,"731,109","322,199","2,269,124 ",Africa,"9816,3253",,,"1,457",,,,,
124,Syria,"22,818",,"1,598 ",,"16,992",,"4,228",,"1,278",90,"103,566","5,801","17,851,800 ",Asia,"78211,171172",,,237,,,,,
125,Guinea,"22,247",,144 ,,"19,685",,"2,418",24,"1,657",11,"433,166","32,262","13,426,693 ",Africa,"60493,24131",,,180,,,,,
126,Réunion,"20,381",,148 ,,"18,659",,"1,574",36,"22,630",164,"101,244","112,416","900,623 ",Africa,"446,0859",,,"1,748",,,,,
127,Mayotte,"20,094",,170 ,,"2,964",,"16,960",3,"72,215",611,"171,277","615,546","278,252 ",Africa,"141,6372",,,"60,952",,,,,
128,French Guiana,"19,543",,101 ,,"9,995",,"9,447",20,"64,060",331,"216,365","709,226","305,072 ",South America,"163,0211",,,"30,966",,,,,
129,French Polynesia,"18,758",,141 ,,"18,597",,20,3,"66,457",500,"26,355","93,372","282,258 ",Australia/Oceania,"152,00211",,,71,,,,,
130,Eswatini,"18,458",,671 ,,"17,748",,39,3,"15,774",573,"187,111","159,905","1,170,138 ",Africa,"631,7446",,,33,,,,,
131,Mauritania,"18,429",,455 ,,"17,707",,267,14,"3,879",96,"234,909","49,449","4,750,525 ",Africa,"25810,44120",,,56,,,,,
132,Guadeloupe,"14,555",,198 ,,"2,242",,"12,115",18,"36,371",495,"180,000","449,796","400,181 ",North America,"272,0212",,,"30,274",,,,,
133,Cambodia,"14,520",+730,103 ,+6,"5,369",+169,"9,048",,859,6,"914,398","54,072","16,910,843 ",Asia,"1,165164,18318",43,0.4,535,,,,,
134,Somalia,"13,915",,713 ,,"5,847",,"7,355",,856,44,"111,801","6,876","16,258,940 ",Africa,"1,16822,804145",,,452,,,,,
